"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"UHM17.10826__k141_47757_52",174.700535503068,-2.01065155539976,1.31201131790449,-1.53249558747033,0.125400185641779,0.602314438312231
"UHM17.35739__k141_100416_7",980.186055131885,-3.30446152262136,0.950458181134479,-3.4767037500557,0.00050761836740404,0.0643901812900419
"UHM17.35740__k141_81042_578",96.3578947610837,-2.31387665376976,0.881673224196439,-2.62441524849373,0.00867978912067197,NA
"UHM18.35741__k141_36982_14",224.009177810181,-2.891403056062,0.577408226882761,-5.00755431156869,5.51259993261814e-07,0.00031693087123399
"UHM18.35741__k141_92990_344",403.232205438523,-2.68820143792104,1.38397557569586,-1.94237635773985,0.0520915552731837,0.444056483428376
"UHM18.35742__k141_35457_30",955.725115636954,-4.11973015412343,1.16766042278465,-3.52819199292431,0.000418408562491335,0.0587257803189751
"UHM18.35742__k141_193642_11",885.780903429049,-3.26493271446531,1.60144769865648,-2.03873827237967,0.0414761558603013,0.373551844857446
"UHM18.35742__k141_57278_262",451.017878026216,-2.79719168459856,1.24591831600317,-2.24508432749571,0.0247627195316549,0.246314160897768
"UHM20.35743__k141_54577_20",210.769914039953,-2.36314246115792,0.555671148775953,-4.25277156527474,2.11140930102988e-05,0.00740048960010973
"UHM20.35743__k141_42964_90",265.275011731521,-2.05592689360197,1.25288873883639,-1.64094929571431,0.100807940898368,0.602314438312231
"UHM20.35743__k141_27113_25",437.054041159366,-3.97219111136997,0.624559775584264,-6.35998549162738,2.01772806557267e-10,4.74249178329924e-07
"UHM20.35744__k141_46087_1",605.435772310236,-2.20960483636995,1.15354974932654,-1.91548291494143,0.0554309459512339,0.464524812788056
"UHM20.35744__k141_138121_1",171.386516614203,-2.34071692901778,0.909371022105715,-2.57399551131251,0.0100531577466703,0.130020712814601
"UHM22.35747__k141_36852_131",290.463369248724,-2.57958727600511,0.548411655101577,-4.7037426210924,2.55435223591649e-06,0.00121505062250613
"UHM31.35749__k141_75103_285",596.256879344192,-2.85337308313935,1.33928997940958,-2.13051178386121,0.0331293839954057,0.312389568449422
"UHM31.35749__k141_64545_8",308.386365327795,-3.84535305568546,0.601928820286615,-6.38838501511601,1.67646811399762e-10,4.32171847941955e-07
"UHM33.10831__k141_124006_35",650.413498333389,-2.77210390111612,1.19742136837825,-2.31506132621517,0.0206095761272438,0.212628682902619
"UHM33.10831__k141_124006_99",571.956290430996,-2.76832604051125,1.2565131665323,-2.2031810841674,0.0275819879866746,0.268323133758788
"UHM38.35752__k141_63442_80",289.63101583739,-3.67171453353285,0.610902520453149,-6.01031164646248,1.85167027140673e-09,1.80456558620972e-06
"UHM38.35752__k141_217261_13",292.085572897724,-3.7768541731905,0.599351753331392,-6.30156523643673,2.94654713908721e-10,5.74317970909794e-07
"UHM40.35754__k141_28515_38",1333.73109105295,-2.75988944991993,1.13833204051101,-2.42450300237616,0.0153293565697184,0.170569507228136
"UHM40.35755__k141_65019_14",861.282525951035,-3.33270528740055,1.09562473763123,-3.04183099644679,0.00235143877519571,0.096710147586138
"UHM40.35755__k141_50030_28",284.865581180584,-2.49730672098393,1.31687271553656,-1.89639187714995,0.0579082451790797,0.479390725731409
"UHM40.35755__k141_9065_77",378.380610012608,-2.68614711928242,1.40593127641834,-1.9105820919821,0.056058307526995,0.468260017530289
"UHM41.35756__k141_54660_45",152.589302619532,-2.05777472226677,0.638767296345903,-3.22147789036533,0.00127531301831826,0.0914712281164115
"UHM44.10837__k141_79712_61",445.318103734101,-2.85328761024958,1.35693765976619,-2.10274037993847,0.035488470205232,0.329808769389569
"UHM45.35759__k141_13582_2",209.100150108354,-2.27445634074825,0.538806857735323,-4.22128320769355,2.42915509604917e-05,0.00827508698451815
"UHM56.35761__k141_22787_18",275.921017874483,-3.72190246326622,0.606513519047517,-6.13655317875055,8.43311431120361e-10,1.04452404083803e-06
"UHM56.35761__k141_92682_74",253.948140626561,-3.59275572842563,0.612693228945594,-5.86387372781731,4.52191411528127e-09,3.97103565503943e-06
"UHM102.35766__k141_65053_5",232.667245269507,-2.18805909247586,0.754171542397762,-2.90127506736636,0.00371647487570195,0.096710147586138
"UHM102.35766__k141_76658_12",590.415533832987,-2.91670996493312,0.69350563051191,-4.20574806693372,2.60219983508526e-05,0.00877435433000013
"UHM102.35767__k141_215718_457",814.169631574145,-4.05091303582054,1.12789827019252,-3.59155886916033,0.00032870590412971,0.0516962277152912
"UHM102.35767__k141_84817_105",147.835335895771,-2.08236795910109,0.633671130038755,-3.2861966726711,0.00101550079599741,0.0860542283919007
"UHM125.35769__k141_201187_14",291.038795314806,-2.67416208319515,0.971677616091968,-2.75210835251148,0.0059212925743851,0.103036177063035
"UHM125.35769__k141_16599_330",845.429613252338,-2.81703310593044,1.27539559815864,-2.20875241375896,0.0271918665724449,0.265163004914017
"UHM125.35770__k141_202982_20",452.614193266566,-2.66856595717099,1.281794815112,-2.08189791822322,0.037351794985038,0.343688122560084
"UHM125.35770__k141_68409_16",712.879451245236,-2.84053034209734,1.26013880805127,-2.25414083269926,0.0241873095892022,0.241613082313938
"UHM145.35773__k141_5351_228",543.344581954614,-2.34745550113943,1.27423875970919,-1.84224148202427,0.0654398351762947,0.522224784130059
"UHM17.35740__k141_87660_203",306.032144420523,-3.13524643631726,0.600429832333307,-5.22166998953649,1.77316754909204e-07,0.000117108191337307
"UHM18.35741__k141_126348_543",384.764711449413,-2.70861266648535,1.1936310912077,-2.26922093973342,0.0232548934992691,0.234319954495094
"UHM18.35742__k141_179467_228",339.464553181913,-2.67203222485214,1.21924992250467,-2.19153774425759,0.0284129014789046,0.274922945730134
"UHM20.35743__k141_84932_98",965.675846431596,-3.24002387435981,1.19704181754521,-2.70669230336847,0.00679572111146107,0.10762195684329
"UHM20.35743__k141_23724_179",641.002501583078,-3.2230201727322,0.823697856438504,-3.9128670149366,9.12067678545254e-05,0.0227062231972789
"UHM20.35744__k141_17182_37",728.180051423389,-2.93234044750969,0.97620314507048,-3.00382196299724,0.00266611289695889,0.096710147586138
"UHM22.35747__k141_6893_143",363.479539442995,-2.56608710010205,0.619373605858197,-4.1430359250561,3.42738230713907e-05,0.0110888999875592
"UHM31.35749__k141_101326_4",276.821074968187,-3.65073297350706,0.605551931401258,-6.02876943197786,1.65212787880043e-09,1.70399208365623e-06
"UHM41.10835__k141_60015_33",959.766746464708,-2.85147078748282,1.2021050382802,-2.37206458394209,0.0176889984434311,0.189236763267517
"UHM41.35756__k141_88404_293",310.886723583755,-3.7251416384432,0.606206535866437,-6.14500408366423,7.99614575499388e-10,1.03755711011151e-06
"UHM41.35757__k141_140523_27",340.721667070352,-3.69003768730803,0.603118186876424,-6.11826631595857,9.4598877109188e-10,1.09561951671067e-06
"UHM41.35757__k141_46008_113",394.796412761828,-2.64687113563033,1.09789931790456,-2.4108505146739,0.0159153700858619,0.175429087591941
"UHM102.35765__k141_129180_2",1715.22367434274,-3.25678031333788,1.37016449820603,-2.37692650597941,0.0174575660511727,0.187362870455737
"UHM102.35766__k141_17208_29",300.329891763589,-3.65074310704402,0.623479084131447,-5.85543797692872,4.75754551137658e-09,4.08811281716288e-06
