"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"UHM36.10832__k141_37961_84",2296.36829260416,-2.44142696378651,1.27327399081704,-1.9174403792069,0.0551820085101579,0.788139552644477
"UHM36.10832__k141_38175_5",1365.90930078587,-2.05191896120646,1.54817859837524,-1.32537613125506,0.185046429581529,0.807569679332565
"UHM36.10832__k141_164897_6",3022.57847614946,-2.02353443752614,1.32997241431329,-1.52148602162621,0.1281379165222,0.807569679332565
"UHM36.10832__k141_164897_38",1441.95590850354,-2.05493898985779,1.43290287434402,-1.43410905697188,0.151541143716065,0.807569679332565
"UHM36.10832__k141_69528_22",1565.96515920367,-2.10458492925413,1.19187381216914,-1.76577831291042,0.0774330482915922,0.807569679332565
"UHM36.10832__k141_33325_13",1368.25569559541,-2.00971115951562,1.32175075960317,-1.52049177571043,0.128387424193836,0.807569679332565
"UHM36.10832__k141_33325_109",2269.56417406258,-2.02156223427123,1.39452303425644,-1.44964420422724,0.14715776242725,0.807569679332565
"UHM36.10832__k141_34398_22",3762.38238291175,-2.4213545936381,1.2749301210375,-1.8992057318935,0.0575374314080995,0.806463852567609
"UHM36.10832__k141_52243_81",1166.62129585626,-2.00254540715186,1.56375266629195,-1.28060239340816,0.200333358913245,0.807569679332565
"UHM36.10832__k141_142755_31",806.470458807369,-2.09959439392505,1.3301613154851,-1.57845095138655,0.114462047812993,0.807569679332565
"UHM36.10832__k141_52398_76",547.06908297047,-2.05352818676527,1.47131495696263,-1.39570944823708,0.162802007960372,0.807569679332565
"UHM36.10832__k141_28374_26",571.553696712167,-2.04365735414467,1.66970659915319,-1.2239619554604,0.220966579706048,0.807569679332565
"UHM36.10832__k141_191577_36",819.02776121767,-2.11551284889773,1.67173738781174,-1.26545763965169,0.205707324207165,0.807569679332565
"UHM36.10832__k141_191577_68",1511.02119310213,-2.01975703775714,1.26516831820826,-1.5964334616105,0.110392050340562,0.807569679332565
"UHM36.10832__k141_191577_100",1121.6302790951,-2.01921730179423,1.44230662919712,-1.39999169449721,0.16151580560577,0.807569679332565
"UHM36.10832__k141_144321_9",2137.23797902961,-2.05002449044528,1.31246155446688,-1.56196917423459,0.118295250904983,0.807569679332565
"UHM36.10832__k141_144321_41",540.133371707793,-2.02500134185741,1.66505409780582,-1.21617750710077,0.223917310155626,0.807569679332565
"UHM36.10832__k141_113987_29",783.416964182803,-2.07180428234132,1.4483679872311,-1.43044053763026,0.152590620586047,0.807569679332565
"UHM36.35750__k141_86557_1",850.428507383618,-2.04328152186056,1.2767048815969,-1.60043370344509,0.109502403280644,0.807569679332565
"UHM36.35750__k141_53329_28",1072.12968566073,-2.0153335876658,1.56545655943636,-1.28737752288151,0.197962734801774,0.807569679332565
"UHM36.35750__k141_76750_54",2508.68202486935,-2.05495152581815,1.30395681305608,-1.575935265066,0.115040722765602,0.807569679332565
"UHM36.35750__k141_76750_86",661.141706212306,-2.16686682854349,1.48330472769496,-1.46083726970302,0.144060105135742,0.807569679332565
"UHM36.35750__k141_60859_9",1294.42203692451,-2.01736816992202,1.60900127734778,-1.25380147195867,0.209914174064453,0.807569679332565
"UHM36.35750__k141_4358_60",1187.02535815921,-2.08342957930976,1.55772715574232,-1.33748042565062,0.181065867513415,0.807569679332565
"UHM36.35750__k141_67527_4",887.187345466609,-2.09311178633315,1.47009746210039,-1.42379117051371,0.15450693239599,0.807569679332565
"UHM36.35750__k141_67527_36",1609.34285321066,-2.00290173694291,1.32855882564128,-1.50757474813065,0.13166339967201,0.807569679332565
"UHM36.35750__k141_67527_100",1716.36323212421,-2.03402601453926,1.33347144949099,-1.52536150310206,0.127168955215463,0.807569679332565
"UHM36.35750__k141_77583_10",2480.13653271432,-2.01369160754739,1.24036742095901,-1.62346380074258,0.104490295616768,0.807569679332565
"UHM36.35750__k141_77583_74",2051.78011028271,-2.00849045561118,1.38499234505211,-1.45018162936894,0.147007876516976,0.807569679332565
"UHM36.35750__k141_77583_106",2008.45178120498,-2.00512128753231,1.37253949367892,-1.46088421991985,0.144047217873332,0.807569679332565
"UHM36.35750__k141_77583_138",880.36412236044,-2.06920564701109,1.6105481687653,-1.28478345891226,0.198867964155598,0.807569679332565
"UHM36.35750__k141_77583_170",792.922682618768,-2.03561740890625,1.59384995125679,-1.27717004182302,0.201542221129548,0.807569679332565
"UHM36.35750__k141_77583_202",1399.88421675905,-2.04737628525046,1.41197351562054,-1.45001040217859,0.147055618477867,0.807569679332565
"UHM36.35750__k141_77583_266",1293.47680001375,-2.06001899080694,1.43545305509203,-1.43510021696591,0.151258541750134,0.807569679332565
